no;date;temp;light;comment
484;05.04.19 12:30:01PM;16,427;96,9;
485;05.04.19 02:30:01PM;16,237;10,8;
486;05.04.19 04:30:01PM;15,855;0;
487;05.04.19 06:30:01PM;15,664;0;
488;05.04.19 07:38:43PM;;;
489;05.04.19 07:38:50PM;;;
490;05.04.19 07:39:15PM;;;Protokolliert
491;05.04.19 08:30:01PM;15,473;0;
492;05.04.19 10:30:01PM;15,378;0;
493;05.05.19 12:30:01AM;15,187;0;
494;05.05.19 02:30:01AM;15,091;0;
495;05.05.19 04:30:01AM;14,996;0;
496;05.05.19 06:30:01AM;14,9;0;
497;05.05.19 08:30:01AM;14,9;64,6;
498;05.05.19 08:46:32AM;;;
499;05.05.19 08:46:33AM;;;
500;05.05.19 08:47:12AM;;;Protokolliert
501;05.05.19 10:30:01AM;15,187;301,4;
502;05.05.19 12:30:01PM;15,282;312,2;
503;05.05.19 02:30:01PM;15,378;333,7;
504;05.05.19 04:30:01PM;15,378;172,2;
505;05.05.19 06:30:01PM;15,378;32,3;
506;05.05.19 07:36:21PM;;;
507;05.05.19 07:36:22PM;;;
508;05.05.19 07:37:13PM;;;Protokolliert
509;05.05.19 08:30:01PM;15,473;0;
510;05.05.19 10:30:01PM;15,473;0;
511;05.06.19 12:30:01AM;15,378;0;
512;05.06.19 02:30:01AM;15,282;0;
513;05.06.19 04:30:01AM;15,282;0;
514;05.06.19 06:30:01AM;15,187;0;
515;05.06.19 08:30:01AM;15,187;21,5;
516;05.06.19 09:02:13AM;;;
517;05.06.19 09:02:36AM;;;Protokolliert
518;05.06.19 10:30:01AM;15,664;43,1;
519;05.06.19 12:30:01PM;15,951;21,5;
520;05.06.19 02:30:01PM;15,855;10,8;
521;05.06.19 04:30:01PM;15,76;10,8;
522;05.06.19 06:30:01PM;16,618;0;
523;05.06.19 08:30:01PM;17,57;0;
524;05.06.19 10:30:01PM;18,331;0;
525;05.07.19 12:30:01AM;17,475;0;
526;05.07.19 02:30:01AM;16,903;0;
527;05.07.19 04:30:01AM;16,427;0;
528;05.07.19 06:30:01AM;16,141;0;
529;05.07.19 08:30:01AM;15,951;64,6;
530;05.07.19 10:30:01AM;16,903;139,9;
531;05.07.19 12:30:01PM;17,95;32,3;
532;05.07.19 02:30:01PM;17,95;0;
533;05.07.19 04:30:01PM;17,95;0;
534;05.07.19 06:30:01PM;17,95;0;
535;05.07.19 08:30:01PM;17,95;0;
536;05.07.19 10:30:01PM;17,95;0;
537;05.08.19 12:30:01AM;18,331;0;
538;05.08.19 02:30:01AM;18,14;0;
539;05.08.19 04:30:01AM;17,95;0;
540;05.08.19 06:30:01AM;17,665;0;
541;05.08.19 08:30:01AM;17,57;32,3;
542;05.08.19 10:30:01AM;17,665;53,8;
543;05.08.19 12:30:01PM;17,855;96,9;
544;05.08.19 02:30:01PM;18,14;96,9;
545;05.08.19 04:30:01PM;18,331;64,6;
546;05.08.19 06:03:57PM;;;
547;05.08.19 06:04:04PM;;;
